epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.382,1.03247,1.11154,1.33089,0.89391,0.92102,0.95597,0.725,0.82113,0.71351,1.20535,0.0667408,3.32925e-05,3.32925e-05
2,645.164,0.91195,0.83585,1.25985,0.91387,0.92771,0.96545,0.75178,0.79135,0.59103,1.16083,0.0334406,6.64452e-05,6.64452e-05
3,779.422,0.88457,0.76292,1.23291,0.94593,0.92503,0.9732,0.76385,0.7889,0.54155,1.15209,0.000139728,9.88779e-05,9.88779e-05
4,899.86,0.84398,0.70228,1.20244,0.94789,0.94975,0.97928,0.77394,0.75611,0.50031,1.13271,9.75773e-05,9.75773e-05,9.75773e-05
5,1044.59,0.82906,0.67787,1.1979,0.94315,0.93272,0.97375,0.77321,0.75664,0.48734,1.12408,9.57205e-05,9.57205e-05,9.57205e-05
6,1163.9,0.80157,0.63618,1.18101,0.95007,0.93307,0.97843,0.77829,0.75765,0.48086,1.12988,9.33683e-05,9.33683e-05,9.33683e-05
7,1289.29,0.81415,0.63166,1.19169,0.95998,0.93135,0.9789,0.78305,0.73308,0.4552,1.10697,9.05463e-05,9.05463e-05,9.05463e-05
8,1413.35,0.78697,0.61056,1.17017,0.94281,0.94896,0.97904,0.78251,0.75146,0.44584,1.11575,8.72857e-05,8.72857e-05,8.72857e-05
9,1539.65,0.78077,0.59076,1.16655,0.94914,0.94932,0.98201,0.78415,0.7446,0.446,1.11912,8.3622e-05,8.3622e-05,8.3622e-05
10,1678.5,0.78475,0.58204,1.15875,0.9461,0.93993,0.98071,0.78876,0.73759,0.45275,1.10801,7.95954e-05,7.95954e-05,7.95954e-05
11,1750.77,0.76864,0.57604,1.15451,0.94993,0.93972,0.98131,0.79345,0.73236,0.42767,1.10682,7.525e-05,7.525e-05,7.525e-05
12,1876.04,0.76081,0.55694,1.14905,0.94407,0.95047,0.98442,0.79957,0.71291,0.41708,1.09393,7.06335e-05,7.06335e-05,7.06335e-05
13,2015.72,0.76044,0.55739,1.15315,0.91683,0.96386,0.97802,0.78728,0.7258,0.42792,1.10238,6.57963e-05,6.57963e-05,6.57963e-05
14,2137.44,0.74647,0.54133,1.14021,0.94829,0.9411,0.98581,0.80173,0.69949,0.41996,1.07717,6.07916e-05,6.07916e-05,6.07916e-05
15,2262.44,0.73868,0.53316,1.13877,0.94013,0.94593,0.97857,0.79599,0.70966,0.41036,1.08521,5.56742e-05,5.56742e-05,5.56742e-05
16,2390.54,0.73951,0.52605,1.13188,0.93963,0.94913,0.98101,0.79205,0.72009,0.40966,1.09404,5.05e-05,5.05e-05,5.05e-05
17,2517.66,0.73735,0.5263,1.13244,0.95799,0.94635,0.98409,0.79909,0.72325,0.40113,1.09062,4.53258e-05,4.53258e-05,4.53258e-05
18,2655.1,0.72808,0.513,1.12389,0.95456,0.94511,0.98411,0.80437,0.7084,0.39644,1.08509,4.02084e-05,4.02084e-05,4.02084e-05
19,2778.43,0.71939,0.50662,1.11527,0.95913,0.94241,0.98376,0.80596,0.7013,0.39633,1.07695,3.52037e-05,3.52037e-05,3.52037e-05
20,2907.9,0.71789,0.50765,1.12157,0.95197,0.95047,0.98465,0.80212,0.71108,0.39316,1.08478,3.03665e-05,3.03665e-05,3.03665e-05
21,3066.9,0.63976,0.42425,1.08452,0.94341,0.95961,0.98403,0.79978,0.70757,0.39381,1.0872,2.575e-05,2.575e-05,2.575e-05
22,3177.31,0.62984,0.40295,1.07176,0.95548,0.94822,0.98378,0.80088,0.70676,0.38917,1.08188,2.14046e-05,2.14046e-05,2.14046e-05
23,3242.56,0.61622,0.39065,1.06208,0.961,0.94779,0.98435,0.79943,0.70794,0.38737,1.08311,1.7378e-05,1.7378e-05,1.7378e-05
24,3318.68,0.61408,0.38388,1.06031,0.96521,0.94511,0.98406,0.80277,0.70135,0.38611,1.08083,1.37143e-05,1.37143e-05,1.37143e-05
25,3387.25,0.60761,0.37815,1.05192,0.96288,0.94511,0.98476,0.80932,0.6936,0.38193,1.07215,1.04537e-05,1.04537e-05,1.04537e-05
26,3459.79,0.60741,0.37644,1.05343,0.94936,0.95367,0.98407,0.80928,0.68858,0.37959,1.07103,7.63174e-06,7.63174e-06,7.63174e-06
27,3538.83,0.61061,0.37567,1.05902,0.95932,0.94378,0.98525,0.81107,0.6906,0.38193,1.06965,5.2795e-06,5.2795e-06,5.2795e-06
28,3621.73,0.594,0.3715,1.04471,0.9652,0.94511,0.98552,0.8108,0.68826,0.3774,1.0687,3.4227e-06,3.4227e-06,3.4227e-06
29,3715.52,0.59721,0.37385,1.05491,0.96274,0.94645,0.98532,0.81206,0.68541,0.37732,1.06596,2.08169e-06,2.08169e-06,2.08169e-06
30,3799.88,0.60011,0.36821,1.04766,0.96431,0.94511,0.98522,0.80964,0.689,0.37847,1.06791,1.27117e-06,1.27117e-06,1.27117e-06
